
Gurobi 10.0.0 (linux64) logging started Thu Nov 24 04:21:02 2022

Set parameter LogFile to value "../results/k03_n050_d015/k03_n080_d020_GEOM80b_binary_BQO_log.txt"
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads

Optimize a model with 80 rows, 240 columns and 240 nonzeros
Model fingerprint: 0xa9eeefc4
Model has 1989 quadratic objective terms
Variable types: 0 continuous, 240 integer (240 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 1 rows and 3 columns
Presolve time: 0.02s
Presolved: 2020 rows, 2178 columns, 6060 nonzeros
Variable types: 0 continuous, 2178 integer (2178 binary)

Root relaxation: objective 3.415000e+03, 165 iterations, 0.01 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 3415.00000    0  155   -0.00000 3415.00000      -     -    0s
H    0     0                    2429.0000000 3415.00000  40.6%     -    0s
H    0     0                    2555.0000000 3415.00000  33.7%     -    0s
     0     0 3299.26829    0  334 2555.00000 3299.26829  29.1%     -    0s
     0     0 3294.25603    0  324 2555.00000 3294.25603  28.9%     -    0s
     0     0 3293.56761    0  331 2555.00000 3293.56761  28.9%     -    0s
     0     0 3070.13442    0  500 2555.00000 3070.13442  20.2%     -    2s
     0     0 3070.13442    0  482 2555.00000 3070.13442  20.2%     -    2s
     0     2 3070.12023    0  477 2555.00000 3070.12023  20.2%     -    2s
    25    36 2973.64143    5  661 2555.00000 3028.44701  18.5%  1673    5s
H  178   194                    2557.0000000 3014.96074  17.9%   769    9s
H  183   194                    2559.0000000 3014.96074  17.8%   768    9s
   213   240 2901.30728   12  632 2559.00000 3014.96074  17.8%   719   10s
H  233   240                    2562.0000000 3014.96074  17.7%   684   10s
H  270   303                    2565.0000000 3014.96074  17.5%   629   10s
H  360   362                    2573.0000000 3014.96074  17.2%   532   11s
H  409   410                    2577.0000000 3014.96074  17.0%   501   12s
H  462   456                    2578.0000000 3014.96074  16.9%   474   14s
H  463   456                    2580.0000000 3014.96074  16.9%   475   14s
H  464   456                    2582.0000000 3014.96074  16.8%   475   14s
H  470   456                    2586.0000000 3014.96074  16.6%   472   14s
H  505   480                    2589.0000000 3014.96074  16.5%   461   15s
H  509   480                    2592.0000000 3014.96074  16.3%   460   15s
H  512   480                    2594.0000000 3014.96074  16.2%   460   15s
H  524   480                    2600.0000000 3014.96074  16.0%   450   15s
H  555   516                    2606.0000000 3014.96074  15.7%   446   16s
H  561   516                    2608.0000000 3014.96074  15.6%   444   16s
  1150  1132 2979.39894    6  500 2608.00000 3013.61742  15.6%   359   20s
H 1486  1397                    2611.0000000 3013.61742  15.4%   335   24s
  1821  1406 2709.98569   40 1850 2629.00000 2709.98569  3.08%   296  351s
  1823  1407 2708.87192   18 1850 2629.00000 2708.87192  3.04%   296  356s
  1824  1408 2708.15756   17 1842 2629.00000 2708.15756  3.01%   296  360s
  1827  1410 2706.57085   40 1822 2629.00000 2706.57085  2.95%   295  367s
  1828  1410 2706.11547   30 1811 2629.00000 2706.11547  2.93%   295  370s
  1829  1411 2705.40509   63 1771 2629.00000 2705.40509  2.91%   295  376s
  1830  1412 2704.70581   25 1799 2629.00000 2704.70581  2.88%   295  385s
  1832  1413 2704.16149   19 1814 2629.00000 2704.16149  2.86%   294  390s
  1834  1414 2702.57883   22 1776 2629.00000 2702.57883  2.80%   294  396s
  1837  1416 2701.84580   15 1766 2629.00000 2701.84580  2.77%   294  400s
  1839  1418 2656.97436   68 1774 2629.00000 2700.58407  2.72%   293  405s
  1841  1419 2699.96466   27 1768 2629.00000 2699.96466  2.70%   293  412s
  1842  1420 2699.47662   21 1736 2629.00000 2699.47662  2.68%   293  417s
  1843  1420 2699.15462   21 1747 2629.00000 2699.15462  2.67%   293  421s
  1844  1421 2698.97642    8 1770 2629.00000 2698.97642  2.66%   292  426s
  1845  1422 2697.54942   24 1750 2629.00000 2697.54942  2.61%   292  436s
  1847  1423 2696.49485   37 1789 2629.00000 2696.49485  2.57%   292  440s
  1850  1425 2695.38699   10 1752 2629.00000 2695.38699  2.53%   292  446s
  1852  1426 2695.03457   39 1768 2629.00000 2695.03457  2.51%   291  450s
  1854  1428 2693.86444   23 1765 2629.00000 2693.86444  2.47%   291  456s
  1856  1429 2693.22829   33 1787 2629.00000 2693.22829  2.44%   291  460s
  1859  1431 2692.24826   27 1755 2629.00000 2692.24826  2.41%   290  467s
  1861  1432 2662.15625   42 1763 2629.00000 2691.32337  2.37%   290  471s
  1864  1434 2629.00000   89 1750 2629.00000 2689.85860  2.31%   289  481s
  1865  1435 2689.38139   23 1762 2629.00000 2689.38139  2.30%   289  489s
  1866  1436 2689.07500   40 1779 2629.00000 2689.07500  2.29%   289  493s
  1867  1436 2688.87968   22 1766 2629.00000 2688.87968  2.28%   289  496s
  1868  1437 2688.14982   14 1754 2629.00000 2688.14982  2.25%   289  501s
  1870  1438 2687.60884   39 1776 2629.00000 2687.60884  2.23%   288  505s
  1878  1445 2687.30196   37  784 2629.00000 2687.30196  2.22%   482  510s
  1880  1446 2687.30196   12 1104 2629.00000 2687.30196  2.22%   482  516s
  1882  1447 2687.30196   28 1267 2629.00000 2687.30196  2.22%   481  523s
  1883  1448 2687.30196   44 1319 2629.00000 2687.30196  2.22%   481  527s
  1884  1449 2687.30196   64 1414 2629.00000 2687.30196  2.22%   481  530s
  1886  1450 2687.30196   11 1545 2629.00000 2687.30196  2.22%   480  535s
  1889  1452 2687.30196   50 1646 2629.00000 2687.30196  2.22%   479  541s
  1894  1455 2687.29418   22 1734 2629.00000 2687.29418  2.22%   478  552s
  1895  1456 2650.15741   53 1758 2629.00000 2686.85630  2.20%   478  555s
  1896  1457 2686.81425   15 1722 2629.00000 2686.81425  2.20%   478  567s
  1898  1458 2685.61806   31 1714 2629.00000 2685.61806  2.15%   477  570s
  1899  1459 2685.44387   39 1724 2629.00000 2685.44387  2.15%   477  584s
  1900  1459 2685.13918   23 1749 2629.00000 2685.13918  2.14%   477  586s
  1901  1460 2685.13918   23 1749 2629.00000 2685.13918  2.14%   476  598s
  1902  1461 2649.50000   60 1749 2629.00000 2685.13918  2.14%   476  603s
  1903  1464 2683.60208   21 1578 2629.00000 2685.09678  2.13%   515  611s
  1905  1468 2679.41343   22 1519 2629.00000 2684.26646  2.10%   519  619s
  1909  1474 2672.62873   23 1499 2629.00000 2682.75430  2.04%   531  636s
  1917  1482 2669.18697   24 1479 2629.00000 2681.58123  2.00%   566  643s
  1927  1488 2668.09760   25 1446 2629.00000 2680.38148  1.95%   593  647s
  1937  1495 2666.58159   25 1450 2629.00000 2680.37811  1.95%   614  651s
  1947  1502 2666.59778   26 1378 2629.00000 2679.53200  1.92%   629  655s
  1957  1510 2666.22467   26 1451 2629.00000 2679.53184  1.92%   643  661s
  1969  1517 2666.32589   27 1390 2629.00000 2679.20686  1.91%   657  667s
  1980  1528 2660.12529   27 1307 2629.00000 2678.85906  1.90%   676  672s
  1994  1533 2666.24846   28 1389 2629.00000 2678.85906  1.90%   684  682s
  2004  1545 2660.50527   28 1325 2629.00000 2678.85906  1.90%   693  687s
  2019  1555 2662.73171   29 1349 2629.00000 2678.85906  1.90%   713  694s
  2034  1568 2664.16861   29 1341 2629.00000 2678.85906  1.90%   727  699s
  2052  1582 2663.75778   30 1336 2629.00000 2678.85906  1.90%   736  704s
  2076  1591 2662.71763   31 1338 2629.00000 2678.85906  1.90%   749  709s
H 2084  1514                    2632.0000000 2678.85906  1.78%   756  709s
  2099  1521 2660.08960   32 1336 2632.00000 2678.85906  1.78%   757  715s
  2117  1528 2661.48199   32 1306 2632.00000 2678.85906  1.78%   770  724s
  2142  1531 2660.10594   33 1288 2632.00000 2678.85906  1.78%   782  730s
  2155  1543 2658.10777   34 1286 2632.00000 2678.85906  1.78%   794  737s
  2178  1560 2659.07207   34 1250 2632.00000 2678.85906  1.78%   810  742s
  2206  1567 2656.86053   35 1225 2632.00000 2678.85906  1.78%   829  749s
  2241  1575 2648.30592   36 1170 2632.00000 2678.85906  1.78%   845  755s
  2260  1593 2656.02160   37 1229 2632.00000 2678.85906  1.78%   866  760s
  2286  1609 2651.99253   38 1183 2632.00000 2678.85906  1.78%   888  765s
  2310  1633 2653.27888   39 1206 2632.00000 2678.85906  1.78%   908  770s
  2342  1634 2651.74093   40 1179 2632.00000 2678.85906  1.78%   923  786s
H 2343  1564                    2634.0000000 2678.85906  1.70%   922  786s
  2354  1578 2649.38363   40 1169 2634.00000 2678.85906  1.70%   928  792s
  2380  1604 2648.65402   41 1161 2634.00000 2678.85906  1.70%   946  798s
  2416  1633 2647.85715   43 1091 2634.00000 2678.85906  1.70%   966  806s
  2461  1665 2645.94071   45 1097 2634.00000 2678.85906  1.70%   990  814s
  2522  1685 2644.78261   48 1033 2634.00000 2678.85906  1.70%  1006  819s
  2569  1724 2643.29444   51 1014 2634.00000 2678.85906  1.70%  1023  825s
  2629  1747 2642.32104   54  996 2634.00000 2678.85906  1.70%  1034  831s
  2694  1777 2641.79827   58  968 2634.00000 2678.85906  1.70%  1044  839s
  2763  1804 2639.40109   65  956 2634.00000 2678.85906  1.70%  1055  846s
  2835  1826     cutoff   74      2634.00000 2678.35373  1.68%  1065  853s
  2895  1859 2675.62323   26 1426 2634.00000 2678.35373  1.68%  1080  861s
  2958  1893 2673.18200   29 1377 2634.00000 2678.35373  1.68%  1094  869s
  3025  1944 2668.11986   35 1255 2634.00000 2678.35373  1.68%  1108  876s
  3108  1978 2663.34200   45 1120 2634.00000 2678.35373  1.68%  1114  887s
  3201  2018 2655.10370   59 1043 2634.00000 2678.35373  1.68%  1122  898s
  3301  2049     cutoff   79      2634.00000 2678.35190  1.68%  1128  905s
  3385  2106 2674.48558   28 1408 2634.00000 2678.35190  1.68%  1139  916s
  3495  2137 2670.29657   34 1292 2634.00000 2678.35190  1.68%  1145  925s
  3593  2188 2663.44500   42 1097 2634.00000 2678.35190  1.68%  1150  935s
  3703  2250 2646.84678   54  960 2634.00000 2677.41295  1.65%  1157  947s
  3860  2309 2672.92762   28 1409 2634.00000 2677.41295  1.65%  1154  957s
  4013  2363 2667.82105   34 1300 2634.00000 2677.41295  1.65%  1149  968s
  4187  2359 2659.94755   46 1176 2634.00000 2677.41295  1.65%  1141  980s
  4241  2464 2639.41485   59  942 2634.00000 2674.97198  1.56%  1144  994s
  4413  2484 2673.98075   27 1418 2634.00000 2674.97192  1.56%  1140 1007s
  4524  2554 2663.13739   33 1231 2634.00000 2674.97192  1.56%  1151 1020s
  4660  2647 2645.93892   42 1002 2634.00000 2674.43146  1.53%  1158 1032s
  4878  2694 2671.62173   27 1383 2634.00000 2674.43146  1.53%  1149 1043s
  5013  2830 2662.59709   37 1200 2634.00000 2674.43146  1.53%  1155 1058s
  5246  2855 2645.94629   61  961 2634.00000 2674.32468  1.53%  1142 1068s
  5396  2983 2669.21026   30 1352 2634.00000 2674.32468  1.53%  1145 1082s
  5606  3056 2661.81174   39 1159 2634.00000 2674.32468  1.53%  1144 1095s
  5768  3228 2659.47015   43 1108 2634.00000 2674.32468  1.53%  1154 1109s
  6034  3359 2652.11158   58 1004 2634.00000 2674.32468  1.53%  1148 1122s
  6269  3534 2635.11404   81  782 2634.00000 2673.82916  1.51%  1148 1139s
  6484  3688 2664.67678   32 1239 2634.00000 2673.75128  1.51%  1154 1154s
  6716  3860 2670.46728   31 1343 2634.00000 2673.46530  1.50%  1157 1171s
  6948  4038 2636.83760   60  862 2634.00000 2673.32159  1.49%  1157 1188s
  7215  4242 2656.80723   37 1199 2634.00000 2673.20094  1.49%  1153 1206s
  7494  4389 2666.87114   29 1323 2634.00000 2673.20094  1.49%  1152 1222s
  7657  4512 2648.56507   36 1103 2634.00000 2672.84064  1.47%  1172 1239s
  7898  4674 2666.27619   29 1289 2634.00000 2672.63413  1.47%  1181 1258s
  8060  5024 2656.76648   38 1073 2634.00000 2672.63413  1.47%  1208 1280s
  8463  5246 2641.90565   56  836 2634.00000 2672.63330  1.47%  1212 1307s
  8890  5510 2652.18411   42 1071 2634.00000 2672.42201  1.46%  1200 1330s
  9266  5733 2656.57197   42 1012 2634.00000 2672.21594  1.45%  1193 1350s
  9606  5960 2658.12429   36 1200 2634.00000 2671.93024  1.44%  1193 1376s
 10072  6181 2667.21686   35 1336 2634.00000 2671.71967  1.43%  1182 1402s
 10415  6488 2663.79832   33 1284 2634.00000 2671.56662  1.43%  1182 1429s
 10818  6762 2662.98382   33 1224 2634.00000 2671.42167  1.42%  1177 1457s
 11204  7103 2660.18580   36 1268 2634.00000 2671.17673  1.41%  1176 1485s
 11642  7327 2653.88421   39 1136 2634.00000 2671.06611  1.41%  1172 1512s
 12023  7612 2637.36560   50  795 2634.00000 2670.95699  1.40%  1178 1543s
 12430  7948 2665.79703   31 1294 2634.00000 2670.83452  1.40%  1174 1576s
 12926  8258 2655.98167   41 1117 2634.00000 2670.70657  1.39%  1173 1610s
 13358  8637 2660.53760   37 1168 2634.00000 2670.59839  1.39%  1183 1643s
 13884  9126 2665.77465   30 1322 2634.00000 2670.59839  1.39%  1187 1679s
 14514  9566 2637.32035   68  807 2634.00000 2670.36525  1.38%  1191 1717s
 15086 10130 2654.41130   34 1279 2634.00000 2670.22310  1.38%  1199 1755s
 15808 10697 2659.93093   36 1244 2634.00000 2670.06530  1.37%  1203 1796s
H16009  8938                    2640.0000000 2670.06530  1.14%  1204 1796s
H16020  8615                    2641.0000000 2670.06530  1.10%  1203 1796s
H16024  8301                    2642.0000000 2670.06530  1.06%  1203 1796s
 16465  8468     cutoff   71      2642.00000 2670.04261  1.06%  1206 1836s
H16851  7788                    2644.0000000 2669.97968  0.98%  1217 1836s
 16992  8144 2650.40825   44 1048 2644.00000 2669.89866  0.98%  1222 1883s
 17638  8531 2667.19715   30 1294 2644.00000 2669.67462  0.97%  1233 1933s
 18331  8961 2667.59882   31 1303 2644.00000 2669.49512  0.96%  1242 1983s
 19118  9426     cutoff   47      2644.00000 2669.20489  0.95%  1251 2034s
 19887  9922 2661.52619   37 1220 2644.00000 2668.96552  0.94%  1261 2084s
 20647 10367 2648.22374   50 1010 2644.00000 2668.83458  0.94%  1267 2139s
 21320 10924 2654.77219   37 1174 2644.00000 2668.70761  0.93%  1278 2192s
 22186 11400 2664.22146   34 1324 2644.00000 2668.52727  0.93%  1285 2248s
 23100 11926 2649.34875   46 1051 2644.00000 2668.27177  0.92%  1293 2306s
 24232 12548 2660.40877   31 1274 2644.00000 2668.11767  0.91%  1293 2367s
 25146 13167 2662.70803   31 1297 2644.00000 2667.98628  0.91%  1306 2441s
 26151 13772 2661.50823   32 1271 2644.00000 2667.78569  0.90%  1314 2524s
 27244 14582 2650.41963   48 1037 2644.00000 2667.60552  0.89%  1321 2607s
 28502 15241 2662.73459   34 1353 2644.00000 2667.40253  0.89%  1321 2689s
 29639 15935 2654.13363   41 1103 2644.00000 2667.22994  0.88%  1321 2774s
 30765 16604 2653.41850   36 1129 2644.00000 2667.09800  0.87%  1326 2870s
 31865 17271     cutoff   60      2644.00000 2667.00877  0.87%  1330 2953s
 33006 17992 2657.29688   44 1121 2644.00000 2666.82882  0.86%  1330 3038s
 34152 18654 2661.66772   37 1205 2644.00000 2666.63671  0.86%  1332 3115s
 35309 19282 2656.58434   38 1223 2644.00000 2666.52327  0.85%  1332 3196s
 36391 19785 2654.28605   43 1062 2644.00000 2666.39614  0.85%  1333 3268s
 37493 20486 2658.64313   38 1184 2644.00000 2666.26004  0.84%  1330 3341s
 38622 21047 2652.23436   44 1079 2644.00000 2666.15909  0.84%  1331 3409s
 39721 21593 2646.87437   54  987 2644.00000 2666.04171  0.83%  1331 3486s
 40722 22127 2650.94177   38 1180 2644.00000 2665.91977  0.83%  1335 3561s
 41854 22470 2648.23799   55 1014 2644.00000 2665.87068  0.83%  1336 3600s

Cutting planes:
  Gomory: 1
  MIR: 30
  StrongCG: 1
  Flow cover: 139
  Zero half: 128
  RLT: 89
  BQP: 2658
  PSD: 442

Explored 42375 nodes (56719233 simplex iterations) in 3600.01 seconds (4367.97 work units)
Thread count was 10 (of 40 available processors)

Solution count 10: 2644 2642 2641 ... 2611

Time limit reached
Best objective 2.644000000000e+03, best bound 2.665000000000e+03, gap 0.7943%
